	graphemes	phonemes	phones	lang
0				eng
1	How	hˈaʊ	xˈaʊ	eng
2	to	tˈu	tˈu	eng
3	say?	sˈeɪ?	sˈeɪ?	eng
4				eng
5	/n/	n	nə	eng
6	not	nˈɑt	nˈɑ	eng
7	so	sˈoʊ	sˈoʊ	eng
8	scary.	skˈɛɹi.	skˈɛɹi.	eng
9				eng
10	Just	ʤˈʌst	ʤˈʌst	eng
11	just	ʤˈʌst	ʤˈʌst	eng
12	make	mˈeɪk	mˈeɪk	eng
13	you	jˈu	jˈu	eng
14	stronger,	stɹˈɔŋgɝ,	stɹˈɔŋgɝ,	eng
15	you	jˈu	jˈu	eng
16	have	hˈæv	hˈæv	eng
17	to	tˈu	tˈu	eng
18	face	fˈeɪs	fˈeɪs	eng
19	you	jˈu	jˈu	eng
20	have	hˈæv	hˈæv	eng
21	to	tˈu	tˈu	eng
22	face	fˈeɪs	fˈeɪs	eng
23	them	ðˈɛm	ðˈɛm	eng
24	coz	kˈɑz	kˈəz	eng
25				eng
26	you	jˈu	jˈu	eng
27	you	jˈu	jˈu	eng
28	can	kˈæn	kˈæn	eng
29	realize	ɹˈiʌlˌaɪz	ɹˈinlˌaɪ	eng
30	you	jˈu	jˈu	eng
31	can	kˈæn	kˈæn	eng
32	realize	ɹˈiʌlˌaɪz	ɹˈiʌlˌaɪz	eng
33	that	ðˈæt	ðˈæt	eng
34				eng
35	one	wˈʌn	wˈen	eng
36	day	dˈeɪ	dˈeɪ	eng
37	you	jˈu	jˈu	eng
38	have	hˈæv	hˈæv	eng
39	to	tˈu	tˈu	eng
40	face	fˈeɪs	fˈeɪs	eng
41	all	ˈɔl	ˈɔl	eng
42	the	ðʌ	ðə	eng
43	difficulties	dˈɪfʌkʌltiz	dˈɪfɪkʌltiz	eng
44	by	bˈaɪ	bˈaɪ	eng
45	yourself	jɝsˈɛlf	jəsˈɛlf	eng
46	coz	kˈɑz	kˈɒz	eng
47	your	jˈɔɹ	jˈɔɹ	eng
48	parents	pˈɛɹʌnts	pˈaɹənts	eng
49	would	wˈʊd	wˈʊd	eng
50				eng
51	go	gˈoʊ	gˈoʊ	eng
52	away	ʌwˈeɪ	ʌwˈeɪ	eng
53	one	wˈʌn	wˈen	eng
54	day	dˈeɪ	dˈeɪ	eng
55	and	ʌnd	æn	eng
56	also	ˈɔlsoʊ	ˈwɔlsoʊ	eng
57	your	jˈɔɹ	jˈɔaɹ	eng
58	your	jˈɔɹ	jˈɔɹ	eng
59	husband	hˈʌzbʌnd	hˈʌɹzbən	eng
60	your	jˈɔɹ	jˈɔɹ	eng
61	boyfriend	bˈɔɪfɹˌɛnd	bˈɔɪfɹˌɛnd	eng
62	or	ˈɔɹ	ˈɔɹ	eng
63	your	jˈɔɹ	jˈɔɹ	eng
64	friends	fɹˈɛndz	fɹˈɛndz	eng
65	would	wˈʊd	wˈʊʔ	eng
66	they	ðˈeɪ	ðˈeɪ	eng
67	they	ðˈeɪ	ðˈeɪ	eng
68	they	ðˈeɪ	ðˈeɪ	eng
69	have	hˈæv	hˈæv	eng
70	their	ðˈɛɹ	ðˈɛɹ	eng
71	own	ˈoʊn	ˈoʊn	eng
72	life	lˈaɪf	lˈaɪf	eng
73	or	ˈɔɹ	ˈɔɹ	eng
74	they	ðˈeɪ	ðˈeɪʔ	eng
75	they	ðˈeɪ	ðˈeɪ	eng
76	also	ˈɔlsoʊ	ˈwɔlsoʊ	eng
77	would	wˈʊd	wˈʊd	eng
78	be	bˈi	bˈi	eng
79	away	ʌwˈeɪ	ʌwˈeɪ	eng
80	from	fɹˈʌm	fɹˈam	eng
81	you	jˈu	jˈu	eng
82	you	jˈu	jˈu	eng
83	have	hˈæv	hˈæv	eng
84	to	tˈu	tˈu	eng
85	take	tˈeɪk	tˈeɪk	eng
86	care	kˈɛɹ	kˈɛɹ	eng
87	of	ˈʌv	ˈʌv	eng
88	yourself	jɝsˈɛlf	jɝsˈɛlf	eng
89	yeah	jˈæ	jˈæ	eng
90	it's	ˈɪts	ˈɪts	eng
91	fine	fˈaɪn	fˈaɪn	eng
92				eng
93	/ɪ/	ɪ	ɪ	eng
94	it	ˈɪt	ˈɪt	eng
95	just	ʤˈʌst	ʤˈʌs	eng
96	make	mˈeɪk	mˈeɪk	eng
97	me	mˈi	mˈi	eng
98	stronger	stɹˈɔŋgɝ	stɹˈɔŋgə	eng
99				eng
100	just	ʤˈʌst	ʤˈʌst	eng
101	because	bɪkˈɔz	bɪkˈɔz	eng
102	of	ˈʌv	ˈʌv	eng
103	the	ðʌ	ðə	eng
104	pain	pˈeɪn	pˈeɪn	eng
105	yeah	jˈæ	jˈæ	eng
106	they	ðˈeɪ	ðˈeɪ	eng
107	ehm	ɛm	ʌm	eng
108	the	ðʌ	ðə	eng
109	nurse	nˈɝs	nˈɝrs	eng
110	told	tˈoʊld	tˈoʊld	eng
111	me	mˈi	mˈi	eng
112	at	ˈæt	ˈæt	eng
113	the	ðʌ	ðə	eng
114	eighth	ˈeɪtθ	ˈeɪθs	eng
115	day	dˈeɪ	dˈeɪ	eng
116	uh	ˈʌ	ˈʌ	eng
117	on	ˈɑn	ˈan	eng
118	the	ðʌ	ðə	eng
119	eighth	ˈeɪtθ	ˈeɪθ	eng
120	day	dˈeɪ	dˈeɪ	eng
121	that	ðˈæt	ðˈæt	eng
122	Oh	ˈoʊ	ˈoʊ	eng
123	finally	fˈaɪnʌli	fˈaɪnəli	eng
124	you	jˈu	jˈu	eng
125	laughed	lˈæft	lˈaft	eng
126	we	wˈi	wˈi	eng
127	can	kˈæn	kˈæn	eng
128	see	sˈi	sˈɪ	eng
129	smile	smˈaɪl	smˈel	eng
130	from	fɹˈʌm	fɹˈɒm	eng
131	your	jˈɔɹ	jˈɔɹ	eng
132	from	fɹˈʌm	fɹˈʌm	eng
133	your	jˈɔɹ	jˈɔɹ	eng
134	face	fˈeɪs	fˈeɪs	eng
135	yeah	jˈæ	jˈæ	eng
136	coz	kˈɑz	kˈɑz	eng
137	you	jˈu	jˈu	eng
138	you	jˈu	jˈu	eng
139	suffered	sˈʌfɝd	sˈʌfr	eng
140	from	fɹˈʌm	fɹˈʌm	eng
141	the	ðʌ	ðə	eng
142	pain	pˈeɪn	pˈeɪn	eng
143	for	fˈɔɹ	fˈəɹ	eng
144	for	fˈɔɹ	fˈɔɹ	eng
145	the	ðʌ	ðə	eng
146	whole	hˈoʊl	hˈoʊ	eng
147	week	wˈik	wˈik	eng
148	on	ˈɑn	ˈɑn	eng
149	the	ðʌ	ðə	eng
150	bed	bˈɛd	bˈɛd	eng
151	/ɪ/	ɪ	ɪ	eng
152	if	ˈɪf	ˈɪf	eng
153	you	jˈu	jˈu	eng
154	don't	dˈoʊnt	dˈont	eng
155	have	hˈæv	hˈæv	eng
156	the	ðʌ	ðə	eng
157	drugs	dɹˈʌgz	dɹˈʌgz	eng
158				eng
159	mh	m	m	eng
160	yeah	jˈæ	jˈæ	eng
161	/ɪ/	ɪ	ɪ	eng
162	/ɪ/	ɪ	ɪ	eng
163	it's	ˈɪts	ˈɪts	eng
164	hard	hˈɑɹd	hˈɑɹd	eng
165	to	tˈu	tˈu	eng
166				eng
167	it's	ˈɪts	ˈɪts	eng
168	hard	hˈɑɹd	hˈɑɹd	eng
169	to	tˈu	tˈu	eng
170	stand	stˈænd	stˈæn	eng
171	it's	ˈɪts	ˈɪts	eng
172	hard	hˈɑɹd	hˈɑɹd	eng
173	to	tˈu	tˈu	eng
174				eng
175	yeah	jˈæ	jˈæ	eng
176	I	ˈaɪ	ˈaɪ	eng
177	know	nˈoʊ	nˈoʊ	eng
178	it's	ˈɪts	ˈɪts	eng
179	it	ˈɪt	ˈɪt	eng
